id,name,location,description,robot_id,sensors,degraded,trajectory_length,duration,is_return_to_origin,size,image(optional),link
subt_canary_20210921,Subt Canary,Subt,UAV goes in part of the subterranean environment,subt_canary,"IMU, Lidar",Geometry,329m,591.3s,No,811.2MB,,https://drive.google.com/drive/folders/12kpnMUsL3Kw7x90mHkyjuQ7ee4Cgp97B?usp=sharing
subt_ds3_20210922,Subt DS3,Subt,UAV goes in part of the subterranean environment,subt_ds3,"IMU, Lidar",Geometry,350.6m,607.42s,No,576.4MB,,https://drive.google.com/drive/folders/1zsc9Byj0T8ZAicyGYvEaOOV4XEYSe6cY?usp=share_link
subt_ds4_20210923,Subt DS4,Subt,UAV goes in part of the subterranean environment,subt_ds4,"IMU, Lidar",Geometry,238m,484.7s,No,308.3MB,,https://drive.google.com/drive/folders/1uV94594BOcAQRlJh1ysXO6Ylf7OE2o0I?usp=share_link
subt_r1_20210921,Subt R1,Subt,UGV goes in part of the subterranean environment,subt_r1,"IMU, Lidar",Geometry,436.4m,600s,No,2.11GB,,https://drive.google.com/drive/folders/147tp3dgOAgNJyJsssugvmhdD9zbJLocq?usp=share_link
subt_r2_20210922,Subt R2,Subt,UGV goes in part of the subterranean environment,subt_r2,"IMU, Lidar",Geometry,536m,1909s,No,1.96GB,,https://drive.google.com/drive/folders/11QR9-9B1hunCFDRbl7eBe7Xjb4RhSopL?usp=share_link
subt_r3_20210923,Subt R3,Subt,UGV goes in part of the subterranean environment,subt_r3,"IMU, Lidar",Geometry,642m,1713s,No,1.86GB,,https://drive.google.com/drive/folders/1vH5nLd4wfaOSPdU5wQZJbZP4kxJ9C_9W?usp=share_link
